57,Darnell Mooney,9,14,0,0,32,1,1055,4,0,8.16,2021,24,CHI,17,14,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,138.7,219.70,8.16,12.92,6,32,5.3,1,1.9,140,81,1055,13.0,4,62.1,57.9,7.5,9,5,0,0,,0,0,,0,0,30,WR
58,D.J. Moore,9,17,0,0,48,0,1157,4,0,8.50,2021,24,CAR,17,17,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,144.5,237.50,8.50,13.97,8,48,6.0,0,2.8,163,93,1157,12.4,4,68.1,57.1,7.1,9,4,0,0,,0,0,,1,0,26,WR
59,Ben Roethlisberger,9,16,3740,22,5,1,0,0,0,13.63,2021,39,PIT,16,16,390,605,215,64.5,3740,22,10,1,3.6,1.7,86.8,38,239,5.91,6.2,6.17,5.43,9.6,233.8,9,7,0,6,7,218.1,218.10,13.63,13.63,20,5,0.3,1,0.3,0,0,0,,0,0.0,,,9,1,0,0,,0,0,,0,0,6,QB
60,Tyler Boyd,8,10,46,0,22,0,828,5,0,7.30,2021,27,CIN,16,10,1,1,0,100.0,46,0,0,,0.0,0.0,118.7,0,0,0.00,46.0,46.00,46.00,46.0,2.9,,,,,,116.8,183.84,7.30,11.49,2,22,11.0,0,1.4,94,67,828,12.4,5,51.8,71.3,8.8,8,5,0,0,,0,0,,0,0,30,WR
61,A.J. Brown,8,13,0,0,10,0,869,5,0,9.07,2021,24,TEN,13,13,0,2,2,0.0,0,0,0,,0.0,0.0,39.6,0,0,0.00,0.0,0.00,0.00,,0.0,,,,,,117.9,180.90,9.07,13.92,2,10,5.0,0,0.8,105,63,869,13.8,5,66.8,60.0,8.3,8,5,0,0,,0,0,,0,0,30,WR
62,Marquise Brown,8,16,0,0,5,0,1008,6,0,8.46,2021,24,BAL,16,16,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,135.3,226.30,8.46,14.14,1,5,5.0,0,0.3,146,91,1008,11.1,6,63.0,62.3,6.9,8,6,0,0,,0,0,,0,0,36,WR
63,Brandin Cooks,8,16,0,0,21,0,1037,6,0,8.86,2021,28,HOU,16,16,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,141.8,231.80,8.86,14.49,2,21,10.5,0,1.3,134,90,1037,11.5,6,64.8,67.2,7.7,8,6,0,0,,0,0,,0,0,36,WR
64,Ezekiel Elliott,8,17,4,0,1002,10,287,2,0,12.06,2021,26,DAL,17,17,1,1,0,100.0,4,0,0,,0.0,0.0,83.3,0,0,0.00,4.0,4.00,4.00,4.0,0.2,,,,,,205.1,252.06,12.06,14.83,237,1002,4.2,10,58.9,65,47,287,6.1,2,16.9,72.3,4.4,8,12,0,0,,0,0,,3,0,78,RB
65,Zach Ertz,8,14,0,0,4,0,763,5,0,6.28,2021,31,ARIPHI,17,14,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,106.7,180.70,6.28,10.63,1,4,4.0,0,0.2,112,74,763,10.3,5,44.9,66.1,6.8,8,5,0,0,,0,0,,0,0,30,TE
66,Antonio Gibson,8,14,0,0,1037,7,294,3,0,11.69,2021,23,WAS,16,14,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,187.1,229.10,11.69,14.32,258,1037,4.0,7,64.8,52,42,294,7.0,3,18.4,80.8,5.7,8,10,0,0,,0,0,,1,0,62,RB
